"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","832","Отображение элементов заголовочной строки поиска","","Sat Apr 05 09:25:23 GMT 2025","passed","Sat Apr 05 09:25:24 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","checkUI"
"","4210","Ввод текста в строку поиска","","Sat Apr 05 09:25:24 GMT 2025","passed","Sat Apr 05 09:25:28 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","setText"
"","827","Проверка кликабельности кнопки изменения темы","","Sat Apr 05 09:25:23 GMT 2025","passed","Sat Apr 05 09:25:23 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeTheme"
"","4005","Открытие GitHub по нажатию на Support Project","","Sat Apr 05 09:25:18 GMT 2025","passed","Sat Apr 05 09:25:22 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","openSupport"
