"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3673","Открытие GitHub по нажатию на Support Project","","Sat Apr 05 09:35:28 GMT 2025","passed","Sat Apr 05 09:35:32 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","openSupport"
"","4200","Ввод текста в строку поиска","","Sat Apr 05 09:35:34 GMT 2025","passed","Sat Apr 05 09:35:38 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","setText"
"","812","Отображение элементов заголовочной строки поиска","","Sat Apr 05 09:35:33 GMT 2025","passed","Sat Apr 05 09:35:34 GMT 2025","","Строка поиска","com.example.test.SearchingStringTest","checkUI"
"","812","Проверка кликабельности кнопки изменения темы","","Sat Apr 05 09:35:32 GMT 2025","passed","Sat Apr 05 09:35:33 GMT 2025","","Основной экран","com.example.test.WeatherPageTest","changeTheme"
